ID,ScientificName,VernacularNamesForScientific,Classification,ClassificationRanks,Biostatus
1,Callaeas cinerea,Kokako|South Island Kokako|South Island Kokako|Kokako,Callaeas cinerea|Callaeas|Callaeidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,|Present||New Zealand|Political Region|
2,Hirundapus,,Hirundapus|Chaeturini|Apodinae|Apodidae|Apodi|Apodiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|tribe|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
3,Leucocarbo,Auckland Island Shag|Auckland Island Shag|Auckland Island Shag,Leucocarbo colensoi|Leucocarbo|Phalacrocoracidae|Suloidea|Pelecani|Pelecaniformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|superfamily|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
4,Egretta alba,Great White Heron|Great Egret,Egretta alba|Egretta|Ardeinae|Ardeidae|Ardeae|Ciconiiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
5,Vanellus miles,Spur-winged Plover|Masked Plover|Spur-winged plover|Masked Plover,Vanillus miles|Vanellus|Charadriinae|Charadriidae|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,|Present||New Zealand|Political Region|
6,Thalasseus,,Thalasseus|Sternidae|Lari|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
7,Anthus novaeseelandiae,New Zealand Pipit|New Zealand Pipit|Richard's Pipit|Australian Pipit|New Zealand Pipit|Australian Pipit|Richard's Pipit,Anthus novaeseelandiae|Anthus|Motacillidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,|Present||New Zealand|Political Region|
8,Callaeas,,Callaeas|Callaeidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
9,Rallus pectoralis muelleri,Auckland Island Rail|Auckland Island Rail,Rallus pectoralis muelleri|Rallus pectoralis|Rallus|Rallinae|Rallidae|Gruiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
10,Procellaria,,Procellaria|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
11,Hirundapus,Moas|Moas,Emeidae|Dinornithiformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,family|order|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
12,Puffinus puffinus puffinus,Manx Shearwater,Puffinus puffinus puffinus|Puffinus puffinus|Puffinus|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
13,Phalaropus fulicarius,Red Phalarope|Grey (Red) Phalarope,Phalaropus fulicarius|Phalaropus|Phalaropodidae|Charadrii|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
14,Porzana,,Porzellana|Rallinae|Rallidae|Gruiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
15,Anas,,Anas|Anatinae|Anatidae|Anseres|Anseriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
